ORIGINAL_IDX	TOKEN	POS	DDB1	DDB2	DDB3
0	Da	KONJ	11|013|Begrundelse	06|017|Straks	-
1	demonstrationerne	NOUN	18|017|Protest, oprør	11|019|Mening, holdning	09|061|Hjælp
2	mod	ADP	08|023|Styre mod, retning	05|024|Modsætning	15|039|Modstand
3	politivold	NOUN	21|025|Politi	-	-
4	og	KONJ	04|028|Tilføje	-	-
5	racisme	NOUN	18|019|Ligestilling	18|004|Ideologi, styreform	-
6	eksploderede	VERB	08|035|Sprede	05|038|Voldsom	13|007|Fysik
7	overalt	ADV	08|035|Sprede	-	-
8	i	ADP	06|004|Klokkeslæt, dato	13|004|Matematik	19|008|Tøj, påklædning
9	USA	PROPN	06|004|Klokkeslæt, dato	13|004|Matematik	19|008|Tøj, påklædning
10	først	ADV	08|025|Gå foran	06|014|Før, tidligere	05|010|Væsentlig
11	på	ADP	09|067|Middel	-	-
12	sommeren	NOUN	10|020|Begejstring, glæde, lykke	01|006|Klart vejr, godt vejr	-
13	,	PUNCT	-	-	-
14	greb	NOUN	09|022|Metode	20|008|Besidde, eje	17|018|Kampsport
15	Donald	PROPN	09|022|Metode	20|008|Besidde, eje	17|018|Kampsport
16	Trump	PROPN	09|022|Metode	20|008|Besidde, eje	17|018|Kampsport
17	straks	ADV	09|036|Hast, hastværk	06|005|Tidligt tidspunkt	06|017|Straks
18	chancen	NOUN	05|047|Skæbne, tilfælde	11|039|Forvente	-
19	for	ADP	09|067|Middel	20|025|Køb, handel	03|025|Foran
20	at	KONJ	09|067|Middel	20|025|Køb, handel	03|025|Foran
21	gøre	VERB	05|040|Tilblivelse, opståen	09|020|Handle, agere	02|033|Afføring, kropsvæsker
22	præsidentvalget	NOUN	18|009|Valghandling	-	-
23	til	ADP	05|018|Ligne	09|014|Hensigt, formål	13|005|Geometri, figur
24	et	DET	05|018|Ligne	09|014|Hensigt, formål	13|005|Geometri, figur
25	spørgsmål	NOUN	11|020|Skepsis, mistro	12|028|Retorik, billedsprog	-
26	om	ADP	11|005|Tema	-	-
27	lov	NOUN	13|002|Forskning, videnskab	22|010|Bøn, fromhed	21|017|Lov
28	og	KONJ	04|028|Tilføje	-	-
29	orden	NOUN	13|016|Biologi	22|014|Præst	15|010|Forening
30	.	PUNCT	-	-	-
31	Siden	ADV	06|015|Efter, senere	06|023|Fremtid	-
32	har	VERB	04|042|Tilhørende	06|004|Klokkeslæt, dato	20|008|Besidde, eje
33	han	PRON	02|013|Menneske	-	-
34	tordnet	VERB	05|038|Voldsom	08|019|Hurtig bevægelse	07|033|Knald
35	mod	ADP	05|024|Modsætning	08|023|Styre mod, retning	03|007|Nær
36	demokratiske	ADJ	18|005|Politiske holdninger	18|010|Regere	18|015|Demokrati
37	borgmestre	NOUN	20|001|Stillingsbetegnelser	-	-
38	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	13|004|Matematik
39	uroplagede	VERB	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	13|004|Matematik
40	byer	NOUN	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	13|004|Matematik
41	som	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	13|004|Matematik
42	Chicago	NOUN	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	13|004|Matematik
43	,	PUNCT	-	-	-
44	Portland	PROPN	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	13|004|Matematik
45	og	KONJ	04|028|Tilføje	-	-
46	Seattle	PROPN	04|028|Tilføje	-	-
47	–	PROPN	04|028|Tilføje	-	-
48	hvis	KONJ	05|034|Betingelse, forudsætning	-	-
49	han	PRON	02|013|Menneske	-	-
50	da	ADV	05|011|Omstændighed, forhold	12|037|Indvende, protestere	06|020|Fortid
51	ikke	ADV	05|011|Omstændighed, forhold	12|037|Indvende, protestere	06|020|Fortid
52	bare	ADV	04|034|En	04|025|For lidt	09|049|Let, enkel
53	har	VERB	04|042|Tilhørende	12|011|Betegnelse, ord	20|008|Besidde, eje
54	tweetet	VERB	19|020|Internet	-	-
55	ordene	NOUN	22|013|Religionsudøvelse	12|014|Sætning	-
56	’	PROPN	22|013|Religionsudøvelse	12|014|Sætning	-
57	LOV	NOUN	13|002|Forskning, videnskab	22|010|Bøn, fromhed	21|017|Lov
58	OG	KONJ	04|028|Tilføje	-	-
59	ORDEN	PROPN	04|028|Tilføje	-	-
60	’	VERB	04|028|Tilføje	-	-
61	med	ADP	04|042|Tilhørende	13|004|Matematik	15|009|Gruppe
62	versaler	NOUN	04|042|Tilhørende	13|004|Matematik	15|009|Gruppe
63	.	PUNCT	-	-	-
64	Desværre	ADV	15|025|Høflighed, hilsen	11|043|Ærgrelse	10|026|Utilfreds
65	for	ADP	09|067|Middel	20|025|Køb, handel	03|025|Foran
66	Trump	PROPN	09|067|Middel	20|025|Køb, handel	03|025|Foran
67	har	VERB	04|042|Tilhørende	20|008|Besidde, eje	02|037|Sygdom
68	strategien	NOUN	18|020|Krig	09|022|Metode	09|015|Plan
69	ikke	ADV	18|020|Krig	09|022|Metode	09|015|Plan
70	virket	VERB	11|002|Tanke, indskydelse	19|011|Teknik	-
71	.	PUNCT	-	-	-
72	Hans	DET	11|002|Tanke, indskydelse	19|011|Teknik	-
73	demokratiske	ADJ	18|005|Politiske holdninger	18|010|Regere	18|015|Demokrati
74	modkandidat	NOUN	18|009|Valghandling	-	-
75	Joe	PROPN	18|009|Valghandling	-	-
76	Biden	PROPN	18|009|Valghandling	-	-
77	fører	VERB	05|033|Årsag	08|011|Vej, gade, plads	08|006|Godstrafik, forsendelse
78	stadig	ADV	06|019|Nutid	-	-
79	solidt	ADV	06|019|Nutid	-	-
80	i	ADP	06|004|Klokkeslæt, dato	19|008|Tøj, påklædning	13|004|Matematik
81	meningsmålingerne	NOUN	18|009|Valghandling	-	-
82	.	PUNCT	-	-	-
83	Trumps	NOUN	18|009|Valghandling	-	-
84	republikanske	ADJ	18|005|Politiske holdninger	18|004|Ideologi, styreform	-
85	kernevælgere	NOUN	18|009|Valghandling	-	-
86	har	VERB	04|042|Tilhørende	02|037|Sygdom	06|004|Klokkeslæt, dato
87	godt	ADV	09|051|Kvalitet, perfekt	11|005|Tema	05|018|Ligne
88	nok	ADV	15|025|Høflighed, hilsen	10|015|Velbehag, tilfredshed	-
89	taget	VERB	11|034|Uddannelse	15|042|Magtudøvelse	09|011|Valg
90	imod	ADP	11|034|Uddannelse	15|042|Magtudøvelse	09|011|Valg
91	lov	NOUN	22|010|Bøn, fromhed	21|017|Lov	21|020|Rettighed
92	og	KONJ	04|028|Tilføje	-	-
93	orden-budskabet	NOUN	04|028|Tilføje	-	-
94	–	NOUN	04|028|Tilføje	-	-
95	i	ADP	13|004|Matematik	03|002|Beliggenhed, sted	03|003|Tilstedeværelse
96	en	DET	13|004|Matematik	03|002|Beliggenhed, sted	03|003|Tilstedeværelse
97	grad	NOUN	04|002|Stor	13|007|Fysik	13|004|Matematik
98	,	PUNCT	-	-	-
99	så	ADV	04|044|Høj grad	06|015|Efter, senere	11|042|Overraskelse
100	hardcore	ADJ	15|031|Seksuel frigjorthed	10|009|Godt kunne lide, føle lyst til	-
101	Trump-tilhængere	NOUN	15|031|Seksuel frigjorthed	10|009|Godt kunne lide, føle lyst til	-
102	går	VERB	08|017|Flyvemaskine	14|010|Film og biograf	17|026|Fornøjelser og fritidsaktiviteter
103	til	ADP	08|023|Styre mod, retning	05|018|Ligne	13|005|Geometri, figur
104	modangreb	NOUN	12|020|Svar	-	-
105	mod	ADP	08|023|Styre mod, retning	09|062|Ombytte	05|024|Modsætning
106	demonstranter	NOUN	18|017|Protest, oprør	-	-
107	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
108	gaderne	NOUN	08|011|Vej, gade, plads	-	-
109	.	PUNCT	-	-	-
110	Men	KONJ	12|037|Indvende, protestere	-	-
111	flest	ADJ	04|020|Mange, meget	11|009|Sammenligne	-
112	amerikanere	NOUN	18|003|Verdens lande og hovedstæder	16|006|Mad og madretter	15|002|Fremmede, udlandet
113	svarer	VERB	20|022|Betale tilbage	-	-
114	rent	ADV	20|022|Betale tilbage	-	-
115	faktisk	ADV	20|022|Betale tilbage	-	-
116	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
117	undersøgelser	NOUN	13|003|Eksperiment, forsøg	18|014|Offentlig forvaltning, tilsyn	-
118	,	PUNCT	-	-	-
119	at	KONJ	13|003|Eksperiment, forsøg	18|014|Offentlig forvaltning, tilsyn	-
120	de	PRON	13|003|Eksperiment, forsøg	18|014|Offentlig forvaltning, tilsyn	-
121	mener	VERB	11|019|Mening, holdning	11|026|Antagelse	09|014|Hensigt, formål
122	,	PUNCT	-	-	-
123	Joe	PROPN	11|019|Mening, holdning	11|026|Antagelse	09|014|Hensigt, formål
124	Biden	PROPN	11|019|Mening, holdning	11|026|Antagelse	09|014|Hensigt, formål
125	er	VERB	11|011|Måle, regne	08|001|Opholdssted, beboet sted	12|011|Betegnelse, ord
126	bedre	ADJ	11|009|Sammenligne	04|020|Mange, meget	09|051|Kvalitet, perfekt
127	til	ADP	09|014|Hensigt, formål	13|005|Geometri, figur	08|023|Styre mod, retning
128	at	KONJ	09|014|Hensigt, formål	13|005|Geometri, figur	08|023|Styre mod, retning
129	skabe	VERB	11|018|Udtænke, opfinde	14|001|Kunst, kulturliv	05|008|Beskaffenhed, art
130	lov	NOUN	13|002|Forskning, videnskab	22|010|Bøn, fromhed	21|017|Lov
131	og	KONJ	04|028|Tilføje	-	-
132	orden	NOUN	13|016|Biologi	22|014|Præst	03|034|Række
133	end	ADP	13|016|Biologi	22|014|Præst	03|034|Række
134	Trump	PROPN	13|016|Biologi	22|014|Præst	03|034|Række
135	.	PUNCT	-	-	-
136	I	ADP	13|004|Matematik	03|002|Beliggenhed, sted	03|003|Tilstedeværelse
137	en	DET	13|004|Matematik	03|002|Beliggenhed, sted	03|003|Tilstedeværelse
138	måling	NOUN	11|011|Måle, regne	-	-
139	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
140	det	DET	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
141	politiske	ADJ	18|010|Regere	18|004|Ideologi, styreform	-
142	medie	PROPN	18|010|Regere	18|004|Ideologi, styreform	-
143	The	PROPN	18|010|Regere	18|004|Ideologi, styreform	-
144	Hill	PROPN	18|010|Regere	18|004|Ideologi, styreform	-
145	viser	VERB	18|006|International politik	03|017|Ydre, udvendig	19|026|Skydevåben
146	54	NUM	18|006|International politik	03|017|Ydre, udvendig	19|026|Skydevåben
147	procent	NOUN	11|011|Måle, regne	13|004|Matematik	-
148	af	ADP	05|042|Oprindelse	-	-
149	vælgerne	NOUN	18|009|Valghandling	-	-
150	for	ADP	09|067|Middel	03|025|Foran	20|025|Køb, handel
151	eksempel	NOUN	12|034|Gøre forståelig, forklare	-	-
152	mest	ADV	12|034|Gøre forståelig, forklare	-	-
153	tillid	NOUN	15|027|Venskab	-	-
154	til	ADP	09|014|Hensigt, formål	13|005|Geometri, figur	08|023|Styre mod, retning
155	Biden	PROPN	09|014|Hensigt, formål	13|005|Geometri, figur	08|023|Styre mod, retning
156	i	ADP	06|004|Klokkeslæt, dato	13|004|Matematik	03|002|Beliggenhed, sted
157	spørgsmålet	NOUN	11|020|Skepsis, mistro	12|028|Retorik, billedsprog	-
158	.	PUNCT	-	-	-
159	Joe	PROPN	11|020|Skepsis, mistro	12|028|Retorik, billedsprog	-
160	Biden	PROPN	11|020|Skepsis, mistro	12|028|Retorik, billedsprog	-
161	fører	VERB	08|011|Vej, gade, plads	08|006|Godstrafik, forsendelse	05|033|Årsag
162	i	ADP	06|004|Klokkeslæt, dato	03|002|Beliggenhed, sted	03|003|Tilstedeværelse
163	øjeblikket	NOUN	06|012|Kortvarig, forgængelig	-	-
164	over	ADP	06|004|Klokkeslæt, dato	08|040|Hen over, overskride	15|058|Ledelse, chef
165	Donald	PROPN	06|004|Klokkeslæt, dato	08|040|Hen over, overskride	15|058|Ledelse, chef
166	Trump	PROPN	06|004|Klokkeslæt, dato	08|040|Hen over, overskride	15|058|Ledelse, chef
167	med	ADP	04|042|Tilhørende	05|014|Relation, sammenhæng	13|004|Matematik
168	cirka	ADV	04|042|Tilhørende	05|014|Relation, sammenhæng	13|004|Matematik
169	7	NUM	04|037|Fire osv.	-	-
170	procentpoint	ADV	04|037|Fire osv.	-	-
171	i	ADP	13|004|Matematik	06|004|Klokkeslæt, dato	19|008|Tøj, påklædning
172	et	DET	13|004|Matematik	06|004|Klokkeslæt, dato	19|008|Tøj, påklædning
173	vægtet	VERB	09|041|Vigtig	11|011|Måle, regne	15|021|Bedømmelse
174	gennemsnit	NOUN	13|006|Statistik	-	-
175	af	ADP	05|042|Oprindelse	-	-
176	de	DET	05|042|Oprindelse	-	-
177	nationale	ADJ	05|042|Oprindelse	-	-
178	meningsmålinger	NOUN	18|009|Valghandling	-	-
179	,	PUNCT	-	-	-
180	udregnet	VERB	13|004|Matematik	11|012|Logisk tænkning	-
181	af	ADP	05|042|Oprindelse	-	-
182	det	DET	05|042|Oprindelse	-	-
183	statistiske	ADJ	13|006|Statistik	-	-
184	medie	PROPN	13|006|Statistik	-	-
185	Fivethirtyeight	PROPN	13|006|Statistik	-	-
186	.	PUNCT	-	-	-
187	Vis	NOUN	22|015|Helligdom, kultsted	-	-
188	mere	ADV	22|015|Helligdom, kultsted	-	-
189	På	ADP	09|067|Middel	-	-
190	den	DET	06|004|Klokkeslæt, dato	-	-
191	baggrund	NOUN	14|005|Tegning, maleri	05|042|Oprindelse	-
192	er	VERB	11|011|Måle, regne	12|011|Betegnelse, ord	08|001|Opholdssted, beboet sted
193	det	PRON	11|011|Måle, regne	12|011|Betegnelse, ord	08|001|Opholdssted, beboet sted
194	måske	ADV	11|020|Skepsis, mistro	11|021|Formodning, tro	-
195	ikke	ADV	11|020|Skepsis, mistro	11|021|Formodning, tro	-
196	så	ADV	11|042|Overraskelse	11|014|Konkludere	04|044|Høj grad
197	underligt	ADJ	15|002|Fremmede, udlandet	-	-
198	,	PUNCT	-	-	-
199	at	KONJ	15|002|Fremmede, udlandet	-	-
200	Trump-kampagnen	NOUN	15|002|Fremmede, udlandet	-	-
201	nu	ADV	09|036|Hast, hastværk	06|019|Nutid	-
202	,	PUNCT	-	-	-
203	med	ADP	04|042|Tilhørende	09|067|Middel	05|014|Relation, sammenhæng
204	små	ADV	04|042|Tilhørende	09|067|Middel	05|014|Relation, sammenhæng
205	50	NUM	04|033|Tal	-	-
206	dage	NOUN	11|011|Måle, regne	-	-
207	til	ADP	08|023|Styre mod, retning	09|014|Hensigt, formål	13|005|Geometri, figur
208	præsidentvalget	NOUN	18|009|Valghandling	-	-
209	,	PUNCT	-	-	-
210	er	VERB	08|001|Opholdssted, beboet sted	11|011|Måle, regne	12|011|Betegnelse, ord
211	i	ADP	13|004|Matematik	03|002|Beliggenhed, sted	03|003|Tilstedeværelse
212	gang	NOUN	08|011|Vej, gade, plads	08|004|Bevægelse	08|020|Langsom bevægelse
213	med	ADP	04|042|Tilhørende	09|067|Middel	13|004|Matematik
214	at	KONJ	04|042|Tilhørende	09|067|Middel	13|004|Matematik
215	skifte	VERB	17|028|Rejser, turisme	09|062|Ombytte	20|008|Besidde, eje
216	hovedfokus	ADV	17|028|Rejser, turisme	09|062|Ombytte	20|008|Besidde, eje
217	.	PUNCT	-	-	-
218	»	PUNCT	-	-	-
219	Det	PRON	17|028|Rejser, turisme	09|062|Ombytte	20|008|Besidde, eje
220	er	VERB	12|011|Betegnelse, ord	12|012|Betydning	07|001|Synlig
221	et	DET	12|011|Betegnelse, ord	12|012|Betydning	07|001|Synlig
222	fokus	NOUN	07|012|Optiske instrumenter	-	-
223	på	ADP	09|067|Middel	-	-
224	økonomien	NOUN	13|019|Samfundsvidenskab	18|002|Stat, nation	20|034|Privatøkonomi, forbrug
225	som	ADP	13|019|Samfundsvidenskab	18|002|Stat, nation	20|034|Privatøkonomi, forbrug
226	det	DET	13|019|Samfundsvidenskab	18|002|Stat, nation	20|034|Privatøkonomi, forbrug
227	definerende	VERB	12|034|Gøre forståelig, forklare	-	-
228	emne	NOUN	19|024|Råstoffer, materialer	-	-
229	i	ADP	19|008|Tøj, påklædning	13|004|Matematik	03|002|Beliggenhed, sted
230	valgkampen	NOUN	18|009|Valghandling	-	-
231	«	NOUN	18|009|Valghandling	-	-
232	,	PUNCT	-	-	-
233	siger	VERB	12|002|Fortælle	-	-
234	en	DET	12|002|Fortælle	-	-
235	medarbejder	NOUN	20|001|Stillingsbetegnelser	20|041|Virksomhed, ledelse	-
236	fra	ADP	09|026|Begynde	05|042|Oprindelse	03|002|Beliggenhed, sted
237	Trumps	PROPN	09|026|Begynde	05|042|Oprindelse	03|002|Beliggenhed, sted
238	valgkampagne	NOUN	18|009|Valghandling	-	-
239	til	ADP	05|018|Ligne	09|014|Hensigt, formål	13|005|Geometri, figur
240	Fox	PROPN	05|018|Ligne	09|014|Hensigt, formål	13|005|Geometri, figur
241	News	PROPN	05|018|Ligne	09|014|Hensigt, formål	13|005|Geometri, figur
242	og	KONJ	04|028|Tilføje	-	-
243	Reuters	PROPN	04|028|Tilføje	-	-
244	.	PUNCT	-	-	-
245	Trump-lejren	NOUN	04|028|Tilføje	-	-
246	har	VERB	04|042|Tilhørende	20|008|Besidde, eje	02|037|Sygdom
247	derfor	ADV	11|014|Konkludere	-	-
248	investeret	VERB	20|038|Værdipapirer	20|039|Økonomisk politik	-
249	små	ADJ	04|004|Lille	04|013|Lav	04|046|Mindre grad
250	65	NUM	04|033|Tal	-	-
251	millioner	NOUN	04|033|Tal	-	-
252	kroner	NOUN	19|010|Pynt og smykker	20|024|Penge	14|007|Udsmykning
253	ekstra	ADJ	19|010|Pynt og smykker	20|024|Penge	14|007|Udsmykning
254	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
255	nye	ADJ	06|026|Ny	-	-
256	amerikanske	ADJ	18|003|Verdens lande og hovedstæder	12|008|Sprog	-
257	tv-reklamer	NOUN	20|043|Markedsføring	-	-
258	,	PUNCT	-	-	-
259	som	PRON	20|043|Markedsføring	-	-
260	fra	ADP	03|002|Beliggenhed, sted	05|042|Oprindelse	09|026|Begynde
261	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
262	dag	NOUN	11|011|Måle, regne	-	-
263	tirsdag	NOUN	06|004|Klokkeslæt, dato	-	-
264	skal	VERB	12|011|Betegnelse, ord	07|054|Løs	02|037|Sygdom
265	hamre	VERB	05|038|Voldsom	07|034|Længerevarende og gentagne lyde	19|012|Værktøj, redskab
266	budskabet	NOUN	12|006|Nyhed	22|001|Religiøsitet, tro	-
267	fast	ADV	05|018|Ligne	-	-
268	.	PUNCT	-	-	-
269	I	ADP	06|004|Klokkeslæt, dato	03|002|Beliggenhed, sted	03|003|Tilstedeværelse
270	weekenden	NOUN	17|025|Fridag, mærkedag	-	-
271	besøgte	VERB	17|026|Fornøjelser og fritidsaktiviteter	17|027|Selskabelighed, fest	-
272	Trump	PROPN	17|026|Fornøjelser og fritidsaktiviteter	17|027|Selskabelighed, fest	-
273	også	ADV	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
274	Nevada	PROPN	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
275	–	PROPN	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
276	en	DET	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
277	stat	NOUN	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
278	,	PUNCT	-	-	-
279	der	PRON	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
280	ikke	ADV	04|031|Forene, samle	12|015|Tale	12|037|Indvende, protestere
281	har	VERB	20|008|Besidde, eje	12|011|Betegnelse, ord	02|037|Sygdom
282	været	VERB	11|011|Måle, regne	08|001|Opholdssted, beboet sted	12|011|Betegnelse, ord
283	et	DET	11|011|Måle, regne	08|001|Opholdssted, beboet sted	12|011|Betegnelse, ord
284	brændpunkt	NOUN	18|020|Krig	03|027|Centrum	13|005|Geometri, figur
285	for	ADP	03|025|Foran	20|025|Køb, handel	09|067|Middel
286	raceuroligheder	NOUN	18|017|Protest, oprør	-	-
287	eller	KONJ	18|017|Protest, oprør	-	-
288	demonstrationer	NOUN	18|017|Protest, oprør	09|061|Hjælp	11|019|Mening, holdning
289	,	PUNCT	-	-	-
290	men	KONJ	12|037|Indvende, protestere	-	-
291	som	ADP	12|037|Indvende, protestere	-	-
292	til	ADP	08|023|Styre mod, retning	13|005|Geometri, figur	09|014|Hensigt, formål
293	gengæld	NOUN	08|023|Styre mod, retning	13|005|Geometri, figur	09|014|Hensigt, formål
294	er	VERB	08|001|Opholdssted, beboet sted	11|011|Måle, regne	12|011|Betegnelse, ord
295	hårdest	ADV	08|001|Opholdssted, beboet sted	11|011|Måle, regne	12|011|Betegnelse, ord
296	ramt	VERB	08|034|Mødes, støde sammen	19|026|Skydevåben	-
297	i	ADP	13|004|Matematik	06|004|Klokkeslæt, dato	19|008|Tøj, påklædning
298	hele	ADJ	06|004|Klokkeslæt, dato	13|004|Matematik	09|051|Kvalitet, perfekt
299	USA	PROPN	06|004|Klokkeslæt, dato	13|004|Matematik	09|051|Kvalitet, perfekt
300	af	ADP	05|042|Oprindelse	-	-
301	arbejdsløshed	NOUN	20|005|Arbejdsløshed	-	-
302	på	ADP	09|067|Middel	-	-
303	grund	NOUN	04|015|Lavvandet	03|015|Understøtte	14|005|Tegning, maleri
304	af	ADP	05|042|Oprindelse	-	-
305	coronakrisen	NOUN	05|042|Oprindelse	-	-
306	.	PUNCT	-	-	-
307	Her	ADV	03|003|Tilstedeværelse	20|016|Forære, forsørge	-
308	slog	VERB	04|045|Højere grad	19|025|Simple våben	18|020|Krig
309	Trump	PROPN	04|045|Højere grad	19|025|Simple våben	18|020|Krig
310	på	ADP	09|067|Middel	-	-
311	at	KONJ	09|067|Middel	-	-
312	genrejse	VERB	19|002|Byggeri	09|052|Forbedre	-
313	økonomien	NOUN	20|034|Privatøkonomi, forbrug	20|045|Overskud	18|002|Stat, nation
314	.	PUNCT	-	-	-
315	»	PUNCT	-	-	-
316	Jeg	PRON	20|034|Privatøkonomi, forbrug	20|045|Overskud	18|002|Stat, nation
317	går	VERB	20|026|Salg, værdi	20|004|Fratrædelse	08|017|Flyvemaskine
318	efter	ADP	03|034|Række	06|015|Efter, senere	-
319	at	KONJ	03|034|Række	06|015|Efter, senere	-
320	blive	VERB	11|011|Måle, regne	12|011|Betegnelse, ord	-
321	genvalgt	VERB	18|009|Valghandling	-	-
322	for	ADP	03|025|Foran	09|067|Middel	20|025|Køb, handel
323	at	KONJ	03|025|Foran	09|067|Middel	20|025|Køb, handel
324	for	ADP	09|067|Middel	03|025|Foran	20|025|Køb, handel
325	at	KONJ	09|067|Middel	03|025|Foran	20|025|Køb, handel
326	genoprette	VERB	09|053|Reproducere	-	-
327	den	DET	06|004|Klokkeslæt, dato	-	-
328	fantastiske	ADJ	04|044|Høj grad	10|010|Begejstre, glæde	12|040|Overdrive
329	velstand	NOUN	20|011|Fattigdom	-	-
330	,	PUNCT	-	-	-
331	vi	PRON	15|057|Aristokrati	-	-
332	har	VERB	04|042|Tilhørende	12|011|Betegnelse, ord	06|004|Klokkeslæt, dato
333	oplevet	VERB	11|041|Realitet	10|017|Smag, kunstnerisk sans	-
334	«	NOUN	11|041|Realitet	10|017|Smag, kunstnerisk sans	-
335	,	PUNCT	-	-	-
336	sagde	VERB	12|002|Fortælle	-	-
337	Trump	PROPN	12|002|Fortælle	-	-
338	blandt	ADP	04|042|Tilhørende	08|039|Placere mellem	-
339	andet	PRON	04|042|Tilhørende	08|039|Placere mellem	-
340	ved	ADP	03|002|Beliggenhed, sted	03|007|Nær	-
341	sit	DET	03|002|Beliggenhed, sted	03|007|Nær	-
342	vælgermøde	NOUN	18|009|Valghandling	-	-
343	i	ADP	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
344	Las	PROPN	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
345	Vegas	PROPN	03|002|Beliggenhed, sted	03|003|Tilstedeværelse	06|004|Klokkeslæt, dato
346	.	PUNCT	-	-	-
